FID,index,x,y,dx,dy,,
279,a104.4x-172.8,104.4,-172.8,103.9789963,-171.7279968,0.4210037,-1.0720032
280,a108x-172.8,108,-172.8,107.5589981,-171.720993,0.4410019,-1.079007
281,a111.6x-172.8,111.6,-172.8,111.1320038,-171.7149963,0.4679962,-1.0850037
282,a115.2x-172.8,115.2,-172.8,114.7080002,-171.7079926,0.4919998,-1.0920074
283,a118.8x-172.8,118.8,-172.8,118.2910004,-171.6999969,0.5089996,-1.1000031
284,a122.4x-172.8,122.4,-172.8,121.8740005,-171.6909943,0.5259995,-1.1090057
285,a126x-172.8,126,-172.8,125.447998,-171.6829987,0.552002,-1.1170013
286,a129.6x-172.8,129.6,-172.8,129.0189972,-171.673996,0.5810028,-1.126004
287,a133.2x-172.8,133.2,-172.8,132.5980072,-171.6640015,0.6019928,-1.1359985
288,a136.8x-172.8,136.8,-172.8,136.1829987,-171.654007,0.6170013,-1.145993
289,a140.4x-172.8,140.4,-172.8,139.7630005,-171.6439972,0.6369995,-1.1560028
290,a144x-172.8,144,-172.8,143.3359985,-171.6329956,0.6640015,-1.1670044
291,a147.6x-172.8,147.6,-172.8,146.9100037,-171.6210022,0.6899963,-1.1789978
292,a151.2x-172.8,151.2,-172.8,150.4929962,-171.6089935,0.7070038,-1.1910065
293,a154.8x-172.8,154.8,-172.8,154.0809937,-171.5970001,0.7190063,-1.2029999
294,a158.4x-172.8,158.4,-172.8,157.6620026,-171.5839996,0.7379974,-1.2160004
295,a162x-172.8,162,-172.8,161.2380066,-171.5700073,0.7619934,-1.2299927
296,a165.6x-172.8,165.6,-172.8,164.8209991,-171.5559998,0.7790009,-1.2440002
297,a169.2x-172.8,169.2,-172.8,168.4120026,-171.5410004,0.7879974,-1.2589996
